repo_name,discussion,title,number,state,author,timestamp,emoji,category,converted_from_issue
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/31321,Still no semi colon in JS for v5 ?,31321,Answered,MathRobin,2020-07-17T18:12:59Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/31320,Open Modal through the corresponding button and switch to the corresponding Tab,31320,Unanswered,zhangchenglin,2020-07-17T16:26:53Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/31316,bootstrap.Tab.getInstance(triggerEl) who should triggerEL,31316,Answered,zhangchenglin,2020-07-17T02:35:00Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/31197,Is there a Bootstrap v5 UI in Figma or Sketch?,31197,Unanswered,adrianoresende,2020-06-28T22:51:40Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/31293,"""Edit this page on GitHub"" links in the docs",31293,Unanswered,rohit2sharma95,2020-07-14T09:44:41Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/31281,Is there something similar to tailwind @apply for new bootstrap utilities,31281,Answered,leomao10,2020-07-12T02:31:31Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/31287,Dropdowns couldn't keep up with a responsive table,31287,Unanswered,smplyjr-dev,2020-07-13T09:56:44Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/31286,bootstrap 5 with display grid ?,31286,Unanswered,hassanbinsafdar,2020-07-12T23:14:17Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/31273,Carousel,31273,Answered,ghostyu2,2020-07-10T17:59:44Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/31260,I am getting funny values for the gradient class bg-gradient,31260,Answered,keef-ui,2020-07-08T10:32:59Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/31267,V5 Docs typo,31267,Unanswered,jramiresbrito,2020-07-09T09:40:17Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/31263,Why is Bootstrap so verbose?,31263,Answered,ugultopu,2020-07-08T20:44:09Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/31264,"Webhint: ""Pitfall: prefixed css first"" in 5.0.0-alpha1",31264,Unanswered,Chrysippus,2020-07-09T04:21:04Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/31239,Open modal programmatically - ReferenceError: bootstrap is not defined,31239,Answered,realrecordzLab,2020-07-04T19:30:27Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/31209,Main.css file only applying to idex file and not other pages,31209,Unanswered,j-sny,2020-06-30T10:41:25Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/31224,Extending btn-group / btn-group-toggle,31224,Unanswered,laventnc,2020-07-02T18:00:02Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/31222,Internet Explorer 11 and Polyfills for Bootstrap 5,31222,Unanswered,ray73864,2020-07-02T07:17:32Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/31218,Check-group should replace btn-group here,31218,Unanswered,zhangchenglin,2020-07-01T08:34:06Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/31215,404 at https://codeload.github.com/twbs/bootstrap/zip/v5.0.0,31215,Unanswered,IntegralWorks,2020-06-30T19:44:27Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/31147,one class to make all shrink,31147,Answered,arcanisgk,2020-06-22T17:28:53Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/31146,Why few members in the core team are fully inactive?,31146,Answered,rohit2sharma95,2020-06-22T17:12:31Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/30887,How are we actually meant to use responsive font sizes?,30887,Unanswered,jeffmarshall,2020-05-24T16:18:10Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/31159,Standard Button,31159,Unanswered,ysds,2020-06-24T10:17:13Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/31158,How do you customize mixin and then import bootstrap?,31158,Unanswered,jsphkm,2020-06-24T06:43:41Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/31150,How are Bootstrap styles generated using Sass?,31150,Answered,jsphkm,2020-06-22T23:45:08Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/31157,Blog designs?,31157,Unanswered,stinhambo,2020-06-24T03:33:44Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/31152,Why use   [].slice.call(),31152,Answered,zhangchenglin,2020-06-23T09:36:16Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/31141,[BS4] Navs on mobile,31141,Unanswered,marceloverdijk,2020-06-21T20:36:09Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/31129,Migration to v5 - jQuery,31129,Unanswered,chrisdavies71,2020-06-21T08:35:43Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/31140,[BS4] Showing 2 icons in select-menu,31140,Answered,marceloverdijk,2020-06-21T20:31:07Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/31065,Bootstrap 5 - Popper.js v2.x,31065,Answered,nicolomonili,2020-06-17T08:02:29Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/31039,The first Bootstrap 5 alpha is almost ready!,31039,Answered,techboyg5,2020-06-16T00:44:10Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/30763,Carousel data-pause on each slide,30763,Unanswered,crustamet,2020-05-07T18:28:20Z,,,True
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/31034,Questions about Bootstrap 4 to 5 upgrade,31034,Answered,techboyg5,2020-06-14T22:46:44Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/31031,Are the Bootstrap 5 docs available for viewing?,31031,Answered,techboyg5,2020-06-14T14:54:13Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/30867,Do we really need support for IE 11 in v5?,30867,Answered,lorvent,2020-05-19T16:04:00Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/31030,Hows it coming along?,31030,Answered,bubsly,2020-06-14T13:14:47Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/30834,Will Bootstrap 5 Drop jQuery?,30834,Answered,trymeouteh,2020-05-14T22:46:29Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/30955,How can I remove the black outline when i focus on the certain component.,30955,Answered,TammyCT,2020-06-03T04:00:24Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/30705,Supporting XHTML5?,30705,Unanswered,Felistrix,2020-05-01T21:52:38Z,,,True
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/30975,slider / carousel,30975,Unanswered,kyulol,2020-06-06T16:43:13Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/30937,Why bootstrap is using blue color as the primary color?,30937,Answered,rohit2sharma95,2020-06-01T03:46:17Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/30962,Can you re-license scss files in site/assets/scss/ folder to MIT?,30962,Unanswered,danny-laa,2020-06-03T20:57:08Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/30875,"Choose whether the menu should have a style to control the position of the content, such as left and right.",30875,Answered,zhangchenglin,2020-05-21T08:04:19Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/30876,Will the form elements in v5 be changed in the future?,30876,Unanswered,zhangchenglin,2020-05-21T08:07:05Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/30870,Changelog references wrong pull request.,30870,Answered,VictorioBerra,2020-05-20T00:55:04Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/30850,You can improve the mixin _forms.scss,30850,Unanswered,maikycourse,2020-05-19T00:31:18Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/30874,"Bootstrap Modal not clickable, backdrop occupies the whole screen",30874,Unanswered,pavankjadda,2020-05-20T22:01:44Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/30586,Welcome to the Discussions beta!,30586,Unanswered,mdo,2020-04-14T22:58:24Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/30780,When is V5 scheduled for release,30780,Answered,linjialiang,2020-05-12T00:49:44Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/30841,Current marker with active class for dropdown-toggle Title,30841,Unanswered,Allmedialab,2020-05-16T19:02:58Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/30833,IE 11 and Chrome Version 81 Issues with button dropdown,30833,Unanswered,morencigirl,2020-05-14T19:53:39Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/30824,Consider display classes for touch devices?,30824,Unanswered,BartzikWebdesign,2020-05-14T11:30:35Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/30823,Can I use both only Bootstrap-v3 CSS and bootstrap-v4 JS in same HTML file in angular,30823,Answered,ajaysharma92,2020-05-14T11:30:35Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/30832,button-variant mixin in master is older than released version,30832,Answered,jeffmarshall,2020-05-14T19:05:37Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/30794,I have one SVG that is rotate around a svg but is not fixed,30794,Unanswered,venus222-ux,2020-05-12T21:50:40Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/30795,Text is not center in small device,30795,Answered,venus222-ux,2020-05-12T21:53:45Z,,,False
